ID,Title,Price,Miles,Location,Market Price
a838,2020 Lincoln MKZ Reserve I AWD,32992,42300,"Waukesha, WI",$510 below market
a839,2020 Ford F-150 Lariat SuperCrew 4WD,40897,71333,"Menomonee Falls, WI",$569 below market
a840,2004 Cadillac XLR RWD,20499,49495,"Brown Deer, WI",$4116 below market
a841,2017 RAM 3500 Laramie Crew Cab LB DRW 4WD,48951,87237,"Milwaukee, WI",$3663 below market
a842,2010 MINI Cooper Base Convertible,5995,94359,"Milwaukee, WI",$2945 below market
a843,2018 Ford Escape S FWD,14995,73707,"Plymouth, WI",$1562 below market
a844,2021 Ford F-150 XLT SuperCrew 4WD,40995,12652,"Plymouth, WI",$3773 below market
a845,2021 Honda Passport Elite AWD,37585,13332,"Milwaukee, WI",$2187 below market
a846,2021 BMW X3 xDrive30e AWD,41965,15637,"Milwaukee, WI",$2672 below market
a847,2020 Ford Ranger XL SuperCab 4WD,19580,133189,"Watertown, WI",$2291 below market
a848,2019 Ford Escape SE AWD,20455,36178,"Kenosha, WI",$1698 below market
a849,2017 Jeep Wrangler Unlimited Sport 4WD,28264,29282,"Greenfield, WI",$2328 below market
a850,2021 Volkswagen Jetta S FWD,18500,41000,"Oostburg, WI",$1613 below market
a851,2019 Mercedes-Benz C-Class C 300 4MATIC AWD,28990,27213,"Oconomowoc, WI",$2571 below market
a852,2015 Chevrolet Camaro 2SS Convertible RWD,27999,39350,"Saukville, WI",$2487 below market
a853,2021 Cadillac XT4 Sport AWD,34999,17477,"Saukville, WI",$3290 below market
a854,2022 Chevrolet Silverado 1500 LT Crew Cab 4WD,40999,3723,"Saukville, WI",$4665 below market
a855,2016 Chevrolet Impala LS FWD,17395,72099,"Waukesha, WI",$994 above market
a856,2022 Chevrolet Silverado 1500 Work Truck Regular Cab RWD,34884,12270,"Racine, WI",$1602 above market
a857,2017 Chevrolet Bolt EV Premier FWD,18995,24138,"Kenosha, WI",$2405 below market
a858,2019 Subaru Outback 2.5i Premium AWD,21300,76088,"Milwaukee, WI",$1362 below market
a859,2004 Cadillac XLR RWD,20499,49495,"Brown Deer, WI",$4116 below market
a860,2017 RAM 3500 Laramie Crew Cab LB DRW 4WD,48951,87237,"Milwaukee, WI",$3663 below market
a861,2010 MINI Cooper Base Convertible,5995,94359,"Milwaukee, WI",$2945 below market
a862,2018 Ford Escape S FWD,14995,73707,"Plymouth, WI",$1562 below market
a863,2021 Ford F-150 XLT SuperCrew 4WD,40995,12652,"Plymouth, WI",$3773 below market
a864,2021 Honda Passport Elite AWD,37585,13332,"Milwaukee, WI",$2187 below market
